Country,Local Purchasing Power Index,Restaurant Price Index,Groceries Index,Cost of Living Plus Rent Index,Rent Index,Cost of Living Index,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Cost of Happiness
Albania,38.05,32.05,31.79,25.17,9.96,39.33,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,2.088201251140938
Austria,100.13999999999999,75.55,78.67,57.26666666666667,29.80333333333333,82.85333333333334,12,7.139,1.341,1.5040000000000002,0.891,0.617,0.242,0.224,-1.1102936987485283
Belarus,43.77,38.12,28.55,23.71,11.25,35.3,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154,1.5086483157218002
Belgium,95.81,94.66499999999999,75.92,58.7975,30.055,85.58,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24,-1.023294209286697
Bulgaria,53.65,33.9925,36.51,25.9625,9.1525,41.6175,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009,1.7556600520344463
Croatia,56.815,46.2175,47.615,35.0525,12.39,56.1575,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,1.0463238792842269
Czech Republic,77.2125,34.84,43.510000000000005,33.43,17.015,48.725,21,6.711,1.233,1.489,0.854,0.543,0.064,0.034,0.1816933381846997
Denmark,109.71,108.39666666666666,74.27333333333333,66.49,37.43,93.56333333333333,3,7.555,1.351,1.59,0.868,0.6830000000000002,0.284,0.408,-1.7333843654749383
Estonia,74.625,58.370000000000005,43.86,37.765,16.05,58.0,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174,0.6714589347020168
Finland,116.76333333333334,94.05,72.5,59.64333333333334,31.653333333333336,85.71666666666665,1,7.632000000000001,1.305,1.5919999999999999,0.874,0.681,0.20200000000000004,0.393,-1.5718611360337202
France,100.41625,81.27625,78.12875,57.65125,29.19875,84.155,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176,-0.6447360172765383
Germany,128.18944444444443,71.62111111111112,59.61722222222222,53.43611111111111,29.855,75.40333333333334,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28,-0.7660085262473532
Greece,55.40333333333333,60.03333333333333,50.03333333333333,37.88333333333333,11.65,62.32,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044000000000000004,0.8441566321968051
Hungary,52.03,36.735,39.260000000000005,31.68,14.209999999999999,47.96,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022,1.0462009938576202
Iceland,88.95,133.19,118.15,91.7,57.25,123.78,4,7.495,1.343,1.644,0.914,0.677,0.353,0.138,-2.538138786921398
Ireland,96.93,88.0475,74.7475,64.5725,41.0975,86.44,14,6.977,1.448,1.583,0.876,0.614,0.307,0.306,-1.0861502857367642
Italy,76.92272727272727,82.97818181818182,69.90636363636364,54.48090909090909,27.171818181818182,79.91818181818182,47,6.0,1.264,1.501,0.9459999999999998,0.281,0.137,0.028,-0.1475722048169805
Latvia,53.77,51.15,42.56,35.75,15.23,54.87,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066,0.6097278211195597
Lithuania,57.82333333333333,47.47,42.39666666666667,34.16,13.963333333333333,52.97,50,5.952000000000001,1.197,1.527,0.7159999999999999,0.3499999999999999,0.026,0.006000000000000001,0.648564824666099
Luxembourg,127.42,109.61,82.71,79.08,61.59,95.37,17,6.91,1.576,1.52,0.896,0.632,0.196,0.321,-1.2859142716095062
Malta,73.50999999999999,79.1,61.705,53.29,31.385,73.69,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142,-0.4565937287695149
Moldova,31.39,25.5,27.64,22.14,9.35,34.06,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,1.4222695479370693
Montenegro,51.8,37.75,35.64,28.48,11.1,44.68,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,1.349521942555244
Netherlands,106.65142857142857,90.71714285714286,67.42285714285714,61.128571428571426,38.39142857142857,82.30571428571429,6,7.441,1.361,1.488,0.878,0.638,0.333,0.295,-1.328208854590845
Norway,107.165,130.5,105.95,80.5575,42.95,115.5925,2,7.594,1.456,1.582,0.861,0.686,0.286,0.34,-2.3840135738683785
Poland,70.9718181818182,37.984545454545454,36.335454545454546,31.405454545454543,16.29090909090909,45.483636363636364,42,6.123000000000001,1.176,1.448,0.7810000000000001,0.546,0.108,0.064,0.7273104014029397
Portugal,64.338,43.568,45.78,37.69199999999999,18.994,55.108000000000004,77,5.41,1.188,1.429,0.884,0.562,0.05500000000000001,0.017,1.0071194161739623
Romania,57.455555555555556,32.483333333333334,32.80222222222223,25.22888888888889,10.092222222222222,39.32666666666667,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001,1.0382653632482934
Serbia,42.446666666666665,32.693333333333335,31.060000000000002,24.843333333333334,8.493333333333334,40.07,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043000000000000003,1.439966798144239
Slovakia,59.57666666666666,43.20666666666667,49.38999999999999,38.27,19.94333333333333,55.346666666666664,39,6.172999999999999,1.21,1.537,0.7760000000000001,0.3539999999999999,0.118,0.014,0.4108658208249696
Slovenia,74.7,57.7,54.76,43.84,20.62,65.47,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051,0.29956771235553814
Spain,87.64,60.845454545454544,53.17363636363636,43.49363636363636,23.0,62.58181818181818,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074,0.10122029636562832
Sweden,116.75399999999999,88.012,76.174,58.294000000000004,31.958000000000006,82.822,9,7.314,1.355,1.501,0.913,0.659,0.285,0.383,-1.2446246797929859
Switzerland,128.86499999999998,127.77,132.23499999999999,94.38166666666666,56.053333333333335,130.08833333333334,5,7.486999999999999,1.42,1.5490000000000002,0.927,0.66,0.256,0.357,-2.7096445259864943
Ukraine,30.068,21.022,20.894,18.268,9.136,26.772000000000002,138,4.103,0.793,1.413,0.609,0.163,0.187,0.011,2.815112037067608
United Kingdom,107.09740740740742,83.90148148148148,63.654444444444444,56.17074074074074,33.93777777777778,76.8788888888889,11,7.190000000000001,1.244,1.433,0.888,0.464,0.262,0.082,-0.981416513823063
